id,title,type,category,url,thumbnail,artist,description
mus-13,The Blessing (Live Version),video,Musica,https://www.youtube.com/watch?v=Zp6aykyZEkg,https://img.youtube.com/vi/Zp6aykyZEkg/maxresdefault.jpg,Kari Jobe & Cody Carnes,La bendición sacerdotal que se ha vuelto un estándar de la adoración moderna.
mus-14,Worthy Of It All (Maverick City),video,Musica,https://www.youtube.com/watch?v=_S39T7_H9_I,https://img.youtube.com/vi/_S39T7_H9_I/maxresdefault.jpg,Maverick City Music,Un himno de exaltación pura reconociendo que Dios es digno de todo honor.
mus-15,More Than Able (Live Video),video,Musica,https://www.youtube.com/watch?v=vK8Hk7-D-W8,https://img.youtube.com/vi/vK8Hk7-D-W8/maxresdefault.jpg,Elevation Worship,Una declaración de fe sobre el poder ilimitado de Dios para obrar en nosotros.
ent-01,The Case For Heaven,video,Entrevistas,https://www.youtube.com/watch?v=H4p7pi9FxTE,https://img.youtube.com/vi/H4p7pi9FxTE/maxresdefault.jpg,Lee Strobel & Robert Jeffress,Impactante conversación en First Dallas sobre la esperanza eterna.
ent-02,Using Your Divine Defense,video,Entrevistas,https://www.youtube.com/watch?v=gQTdOc6LkZ4,https://img.youtube.com/vi/gQTdOc6LkZ4/maxresdefault.jpg,Robert Jeffress,Mensaje clave sobre la guerra espiritual desde el corazón de Dallas.
ent-03,Navigating Leadership Storms,video,Entrevistas,https://www.youtube.com/watch?v=s8O58DGLgQs,https://img.youtube.com/vi/s8O58DGLgQs/maxresdefault.jpg,T.D. Jakes & Andrew Young,Clase magistral de liderazgo grabada en el ILS 2024 en Dallas.
ent-04,The Story of Upper Room,video,Entrevistas,https://www.youtube.com/watch?v=JwfOlFLewTQ,https://img.youtube.com/vi/JwfOlFLewTQ/maxresdefault.jpg,Michael Miller,La historia detrás del movimiento de oración más grande de DFW.
ent-05,Restoration Sunday,video,Entrevistas,https://www.youtube.com/watch?v=pCQYOXPqFo4,https://img.youtube.com/vi/pCQYOXPqFo4/maxresdefault.jpg,Oak Cliff Bible Fellowship,Momento histórico de restauración y liderazgo en la iglesia de Tony Evans.
ent-06,I Could Never (Message),video,Entrevistas,https://www.youtube.com/watch?v=Cp3-GyYHXiQ,https://img.youtube.com/vi/Cp3-GyYHXiQ/maxresdefault.jpg,Robert Madu,Entrevista y mensaje poderoso sobre la gracia en Social Dallas (2025).
ent-07,Dependency On The Spirit,video,Entrevistas,https://www.youtube.com/watch?v=oz08PbNZdio,https://img.youtube.com/vi/oz08PbNZdio/maxresdefault.jpg,Michael Miller,Enseñanza profunda sobre la vida en el Espíritu en Upper Room Dallas.
ent-08,Who Am I? (VOUSCon),video,Entrevistas,https://www.youtube.com/watch?v=7rRQgxsXHKk,https://img.youtube.com/vi/7rRQgxsXHKk/maxresdefault.jpg,Robert Madu,Una de las conversaciones más compartidas del líder de Social Dallas.
ent-09,The Dallas Project Fall Revival,video,Entrevistas,https://www.youtube.com/watch?v=IouGIZeDxFk,https://img.youtube.com/vi/IouGIZeDxFk/maxresdefault.jpg,Dr. Carlton P. Byrd,Mensaje de impacto comunitario y renovación espiritual en DFW.
ent-10,Recognizing the Holy Spirit,video,Entrevistas,https://www.youtube.com/watch?v=Wq0uUvbVkEw,https://img.youtube.com/vi/Wq0uUvbVkEw/maxresdefault.jpg,Priscilla Shirer,Enseñanza práctica de la reconocida maestra basada en Dallas (Going Beyond).
ent-11,Why They Hate Us (Leadership),video,Entrevistas,https://www.youtube.com/watch?v=9spqDEImC_w,https://img.youtube.com/vi/9spqDEImC_w/maxresdefault.jpg,Jack Graham,Perspectiva bíblica sobre los retos del liderazgo cristiano en Prestonwood.
ent-12,Sunday Service Message,video,Entrevistas,https://www.youtube.com/watch?v=1aQEpky5OTY,https://img.youtube.com/vi/1aQEpky5OTY/maxresdefault.jpg,Matt Chandler,Mensaje de esperanza y perseverancia desde The Village Church en Flower Mound.
ent-13,Renew Experience 2024,video,Entrevistas,https://www.youtube.com/watch?v=8gwpmmRxylE,https://img.youtube.com/vi/8gwpmmRxylE/maxresdefault.jpg,Danilo Montero & Ricardo Salazar,Conversación sobre la renovación de la iglesia en el contexto de Texas.
ent-14,Addressing National Pain,video,Entrevistas,https://www.youtube.com/watch?v=s3blqrCvXsI,https://img.youtube.com/vi/s3blqrCvXsI/maxresdefault.jpg,Michael Miller,Reflexión pastoral ante momentos críticos, grabada en Upper Room Dallas.
ent-15,Impartation for Breakthrough,video,Entrevistas,https://www.youtube.com/watch?v=76A3wedRDjc,https://img.youtube.com/vi/76A3wedRDjc/maxresdefault.jpg,Pastor Javier Ramos,Mensaje de victoria y unción desde una de las iglesias hispanas claves de Dallas.
